station_name,land_use,r_squared,num_observations
BE-Lon,CRO,0.475120831330507,891
CH-Oe2,CRO,0.43967587979822564,559
CZ-KrP,CRO,0.3091582531784164,890
DE-Geb,CRO,0.4043986330116298,560
DE-Kli,CRO,0.3033240532899424,560
DE-RuS,CRO,0.2971624523339168,891
FI-Qvd,CRO,-0.7900389197488149,890
FR-Aur,CRO,0.31639823797937006,890
FR-Gri,CRO,0.4197158697915999,891
FR-Lam,CRO,0.3316883017223443,560
BE-Maa,CSH,-0.2003749766241656,560
CZ-Lnz,DBF,0.09743917540103475,560
CZ-Stn,DBF,0.42797895506177386,560
DE-Hai,DBF,0.36008724081305565,891
DE-HoH,DBF,0.20833924163201334,560
DE-Hzd,DBF,-0.19139581162375108,560
DK-Sor,DBF,0.5443525084379143,891
FR-Fon,DBF,0.34792369671954915,891
FR-Hes,DBF,0.16538373594953482,891
GF-Guy,EBF,-1.954662590810281,559
CH-Dav,ENF,-0.20062390658823004,560
CZ-BK1,ENF,-0.5751852875668415,560
CZ-RAJ,ENF,-0.038236824471725495,560
DE-Obe,ENF,-0.44274758186397145,560
DE-RuW,ENF,-0.2873236721094654,890
DE-Tha,ENF,0.0887582603949375,560
FI-Hyy,ENF,-0.4326874190532155,560
FI-Ken,ENF,-0.6906690721875608,560
FI-Let,ENF,-0.40830608389983225,891
FI-Var,ENF,-0.06276788427330371,891
FR-Bil,ENF,-0.2575861439972289,891
IL-Yat,ENF,-1.158572749771984,891
IT-Lav,ENF,-0.5185636426127154,560
IT-Ren,ENF,-0.43863637297332314,891
IT-SR2,ENF,-1.2110694302789091,891
NL-Loo,ENF,-0.12024842632595667,225
RU-Fy2,ENF,0.27987824538121453,891
RU-Fyo,ENF,0.29769494269836183,560
SE-Htm,ENF,0.08244877187710764,891
SE-Nor,ENF,-0.21778532410944518,891
SE-Ros,ENF,-0.47835081056308226,891
SE-Svb,ENF,-0.9122733050254903,891
BE-Dor,GRA,0.5213125653619538,891
CH-Aws,GRA,-1.329033065585186,560
CH-Cha,GRA,0.2702288386383127,560
CH-Fru,GRA,0.16624250527347073,560
DE-Gri,GRA,0.044410968369697934,560
DE-RuR,GRA,-0.01228573931828314,891
IT-MBo,GRA,0.2637288425483857,560
IT-Tor,GRA,-0.5867448691282819,560
NL-Cab,GRA,0.43918731443861037,890
NL-Vee,GRA,0.3536357526425379,889
BE-Bra,MF,0.08752862888297108,560
BE-Vie,MF,0.03620937646594824,891
FR-FBn,MF,-1.305600532998025,560
ES-LJu,OSH,-0.06324406327974019,890
IT-Lsn,OSH,0.4040046407243716,891
ES-Abr,SAV,-0.35323739316620917,891
ES-LM1,SAV,-1.3272657762543743,891
ES-LM2,SAV,-1.5336987615837732,891
CZ-wet,WET,-0.6440895343759987,560
FI-Sii,WET,-0.45046995037148885,560
FR-LGt,WET,-0.13407496079189452,559
SE-Deg,WET,-0.693093876540698,891
ES-Cnd,WSA,-0.4090342270540954,890
